COUNTYNAME,RealPlantArea,HarvestArea,UnitYield,Yield,Crop,Year,Season
新北市,168.61,168.61,5551,935943,Rice,2011,first
宜蘭縣,8400.94,8400.94,6606,55496761,Rice,2011,first
桃園市,6745.18,6745.18,5865,39563139,Rice,2011,first
新竹縣,3834.07,3834.07,6255,23983801,Rice,2011,first
苗栗縣,5642.95,5642.95,6585,37161435,Rice,2011,first
台中市,13787.90,13786.01,7122,98189902,Rice,2011,first
彰化縣,17052.52,17052.52,7799,132984543,Rice,2011,first
南投縣,2354.29,2354.29,7436,17507265,Rice,2011,first
雲林縣,24661.14,24661.06,8051,198542895,Rice,2011,first
嘉義縣,16311.07,16311.07,7516,122588971,Rice,2011,first
台南市,10598.73,10598.73,7512,79614360,Rice,2011,first
高雄市,3832.59,3832.59,7073,27107278,Rice,2011,first
屏東縣,5024.43,5024.43,7233,36341703,Rice,2011,first
台東縣,6229.94,6229.94,6400,39871253,Rice,2011,first
花蓮縣,7798.89,7798.89,6125,47771157,Rice,2011,first
新竹市,655.96,655.96,6006,3939696,Rice,2011,first
嘉義市,500.00,500.00,7361,3680744,Rice,2011,first
台北市,248.82,248.82,5532,1376472,Rice,2011,first
新北市,12.90,9.06,3405,30849,Rice,2011,second
宜蘭縣,7.00,3.10,1200,3720,Rice,2011,second
桃園市,3947.82,3947.82,4339,17128212,Rice,2011,second
新竹縣,3259.35,3259.35,5278,17203253,Rice,2011,second
苗栗縣,4595.24,4595.24,5303,24366857,Rice,2011,second
台中市,13140.10,13139.07,5685,74689054,Rice,2011,second
彰化縣,14807.59,14807.59,5971,88422737,Rice,2011,second
南投縣,2317.99,2317.99,5619,13023808,Rice,2011,second
雲林縣,11977.65,11977.65,5978,71596686,Rice,2011,second
嘉義縣,13436.84,13436.84,5805,77994480,Rice,2011,second
台南市,7966.45,7966.45,5864,46713925,Rice,2011,second
高雄市,469.23,468.53,4373,2048857,Rice,2011,second
屏東縣,1000.25,1000.25,4698,4699175,Rice,2011,second
台東縣,5956.15,5950.07,4860,28919499,Rice,2011,second
花蓮縣,7682.66,7663.14,4465,34215457,Rice,2011,second
新竹市,579.93,579.93,5178,3002878,Rice,2011,second
嘉義市,433.40,433.40,5051,2189038,Rice,2011,second
台北市,245.00,245.00,2583,632835,Rice,2011,second
新北市,148.05,148.05,5489,812715,Rice,2012,first
宜蘭縣,9047.32,9047.32,6133,55491329,Rice,2012,first
桃園市,6433.59,6433.59,5532,35591590,Rice,2012,first
新竹縣,3920.89,3920.89,5807,22766968,Rice,2012,first
苗栗縣,5661.32,5661.32,6142,34769368,Rice,2012,first
台中市,13594.32,13590.51,6702,91083841,Rice,2012,first
彰化縣,18281.85,18281.85,7577,138514618,Rice,2012,first
南投縣,2470.25,2468.99,6818,16834180,Rice,2012,first
雲林縣,26119.11,26118.06,7592,198299032,Rice,2012,first
嘉義縣,17054.33,17053.59,6870,117150431,Rice,2012,first
台南市,10771.80,10769.44,7337,79015381,Rice,2012,first
高雄市,4122.64,4114.17,7033,28933565,Rice,2012,first
屏東縣,5432.86,5432.71,7247,39370850,Rice,2012,first
台東縣,6340.09,6337.86,6110,38727480,Rice,2012,first
花蓮縣,8090.39,8087.88,5199,42050920,Rice,2012,first
新竹市,540.40,540.40,5661,3059204,Rice,2012,first
嘉義市,535.00,534.81,6856,3666703,Rice,2012,first
台北市,247.19,247.19,5139,1270309,Rice,2012,first
新北市,8.84,8.40,3266,27434,Rice,2012,second
宜蘭縣,1.10,1.00,120,120,Rice,2012,second
桃園市,3886.11,3886.11,4782,18581489,Rice,2012,second
新竹縣,3339.00,3339.00,5326,17784446,Rice,2012,second
苗栗縣,4805.40,4805.40,5403,25963040,Rice,2012,second
台中市,12769.91,12769.23,5495,70160729,Rice,2012,second
彰化縣,15710.45,15709.60,6838,107419387,Rice,2012,second
南投縣,2421.87,2421.87,7156,17330884,Rice,2012,second
雲林縣,12662.31,12662.31,6958,88103877,Rice,2012,second
嘉義縣,14290.03,14290.03,5928,84716524,Rice,2012,second
台南市,9005.55,9005.55,6632,59724816,Rice,2012,second
高雄市,433.58,433.58,4227,1832858,Rice,2012,second
屏東縣,850.52,850.52,4317,3671496,Rice,2012,second
台東縣,6080.48,6080.48,5487,33366158,Rice,2012,second
花蓮縣,7843.91,7843.91,4708,36928790,Rice,2012,second
新竹市,490.00,490.00,5939,2910110,Rice,2012,second
嘉義市,448.40,448.40,5962,2673389,Rice,2012,second
台北市,245.51,245.51,3087,757889,Rice,2012,second
新北市,157.00,156.92,4527,710396,Rice,2013,first
宜蘭縣,9801.35,9801.35,6270,61454825,Rice,2013,first
桃園市,8644.08,8644.08,4811,41589446,Rice,2013,first
新竹縣,4555.15,4555.15,5540,25235361,Rice,2013,first
苗栗縣,6319.73,6319.73,6301,39820594,Rice,2013,first
台中市,13513.44,13512.32,6247,84408466,Rice,2013,first
彰化縣,18597.62,18592.64,7209,134025942,Rice,2013,first
南投縣,2448.20,2447.68,6500,15909937,Rice,2013,first
雲林縣,25890.93,25890.93,7007,181422358,Rice,2013,first
嘉義縣,17339.01,17339.01,6076,105356759,Rice,2013,first
台南市,11173.36,11173.36,5978,66795496,Rice,2013,first
高雄市,4266.29,4266.29,7001,29868973,Rice,2013,first
屏東縣,5428.10,5428.10,7213,39152884,Rice,2013,first
台東縣,6432.82,6431.51,5573,35840653,Rice,2013,first
花蓮縣,8441.90,8433.16,5017,42311503,Rice,2013,first
新竹市,588.00,588.00,5146,3025848,Rice,2013,first
嘉義市,552.28,552.28,6060,3346761,Rice,2013,first
台北市,248.00,248.00,4401,1091448,Rice,2013,first
新北市,11.12,7.10,2055,14591,Rice,2013,second
宜蘭縣,0.50,0.50,1200,600,Rice,2013,second
桃園市,4115.20,4103.20,4224,17331508,Rice,2013,second
新竹縣,3421.65,3421.65,4817,16482942,Rice,2013,second
苗栗縣,5039.32,5039.32,4762,23996164,Rice,2013,second
台中市,12642.73,12633.15,4540,57359587,Rice,2013,second
彰化縣,17401.64,17345.46,5828,101091931,Rice,2013,second
南投縣,2339.87,2339.87,5975,13980882,Rice,2013,second
雲林縣,13050.93,13050.93,6225,81237877,Rice,2013,second
嘉義縣,14802.81,14802.81,4551,67369844,Rice,2013,second
台南市,9657.23,9657.23,5123,49472976,Rice,2013,second
高雄市,491.83,491.83,4053,1993630,Rice,2013,second
屏東縣,898.96,898.96,4132,3714503,Rice,2013,second
台東縣,6186.45,6186.45,5162,31931727,Rice,2013,second
花蓮縣,7862.49,7862.49,4921,38689570,Rice,2013,second
新竹市,485.76,485.59,4785,2323548,Rice,2013,second
嘉義市,556.42,556.42,4912,2733135,Rice,2013,second
台北市,242.31,242.31,2488,602867,Rice,2013,second
新北市,152.66,152.66,5236,799328,Rice,2014,first
宜蘭縣,9799.72,9799.72,6368,62403487,Rice,2014,first
桃園市,9915.78,9915.78,5345,52997731,Rice,2014,first
新竹縣,4663.12,4663.12,5572,25984769,Rice,2014,first
苗栗縣,6533.79,6533.79,6188,40430568,Rice,2014,first
台中市,13361.17,13358.96,6269,83751219,Rice,2014,first
彰化縣,19352.45,19348.26,7137,138086692,Rice,2014,first
南投縣,2255.27,2255.27,6780,15291516,Rice,2014,first
雲林縣,27175.80,27175.80,7266,197446922,Rice,2014,first
嘉義縣,17531.88,17531.88,7050,123607216,Rice,2014,first
台南市,11445.24,11445.24,7257,83057741,Rice,2014,first
高雄市,4272.40,4272.40,7154,30565217,Rice,2014,first
屏東縣,4969.40,4969.40,7386,36703736,Rice,2014,first
台東縣,6299.40,6299.40,6022,37931908,Rice,2014,first
花蓮縣,8850.25,8850.25,5533,48965945,Rice,2014,first
新竹市,580.35,580.35,5605,3252862,Rice,2014,first
嘉義市,556.97,556.97,7037,3919398,Rice,2014,first
台北市,240.99,240.99,5010,1207360,Rice,2014,first
新北市,9.65,9.65,3288,31729,Rice,2014,second
桃園市,4081.22,4081.22,4622,18864446,Rice,2014,second
新竹縣,3326.74,3326.74,5411,18000464,Rice,2014,second
苗栗縣,4948.33,4948.33,5024,24859262,Rice,2014,second
台中市,12358.99,12356.91,5471,67610591,Rice,2014,second
彰化縣,17455.94,17444.64,6347,110719053,Rice,2014,second
南投縣,2231.01,2231.01,6551,14614519,Rice,2014,second
雲林縣,13221.65,13221.65,6385,84417398,Rice,2014,second
嘉義縣,13759.49,13759.49,6044,83167382,Rice,2014,second
台南市,9321.24,9321.24,6235,58113835,Rice,2014,second
高雄市,548.14,548.14,4922,2697849,Rice,2014,second
屏東縣,974.12,974.12,5008,4878392,Rice,2014,second
台東縣,6026.11,6026.11,6009,36209027,Rice,2014,second
花蓮縣,8034.76,8034.76,5274,42371330,Rice,2014,second
新竹市,483.63,483.63,5223,2525999,Rice,2014,second
嘉義市,553.50,553.50,6077,3363622,Rice,2014,second
台北市,233.63,233.63,4108,959752,Rice,2014,second
新北市,109.87,109.87,5524,606920,Rice,2015,first
宜蘭縣,9935.44,9935.44,6658,66153500,Rice,2015,first
桃園市,4075.89,4075.89,5506,22440120,Rice,2015,first
新竹縣,1663.30,1663.30,5995,9971501,Rice,2015,first
苗栗縣,3697.90,3697.90,6421,23745168,Rice,2015,first
台中市,12145.87,12145.87,7139,86705447,Rice,2015,first
彰化縣,20566.04,20564.17,7570,155663094,Rice,2015,first
南投縣,2330.25,2330.25,7222,16828602,Rice,2015,first
雲林縣,27363.32,27363.32,7983,218445556,Rice,2015,first
嘉義縣,11558.64,11558.64,7170,82870429,Rice,2015,first
台南市,11361.31,11361.31,7449,84635134,Rice,2015,first
高雄市,4474.40,4474.40,7335,32820252,Rice,2015,first
屏東縣,5281.16,5281.16,7435,39263705,Rice,2015,first
台東縣,6315.84,6315.84,7133,45048695,Rice,2015,first
花蓮縣,8757.69,8757.69,6055,53025016,Rice,2015,first
新竹市,202.93,202.93,5250,1065383,Rice,2015,first
嘉義市,546.20,546.20,7095,3875289,Rice,2015,first
台北市,240.49,240.49,5423,1304177,Rice,2015,first
新北市,8.39,5.45,1854,10104,Rice,2015,second
宜蘭縣,10.00,10.00,2043,20430,Rice,2015,second
桃園市,3780.93,3780.93,3897,14735535,Rice,2015,second
新竹縣,3099.69,3099.69,4795,14864361,Rice,2015,second
苗栗縣,4846.87,4841.47,4636,22447439,Rice,2015,second
台中市,12084.35,12082.59,4508,54464726,Rice,2015,second
彰化縣,17674.15,17662.61,5140,90779442,Rice,2015,second
南投縣,2227.22,2227.22,5494,12235529,Rice,2015,second
雲林縣,13719.69,13719.69,5183,71107544,Rice,2015,second
嘉義縣,14240.38,14240.38,5035,71701437,Rice,2015,second
台南市,9432.09,9432.09,5151,48583010,Rice,2015,second
高雄市,514.60,514.60,4407,2267945,Rice,2015,second
屏東縣,1178.55,1178.55,4206,4956981,Rice,2015,second
台東縣,6050.40,6050.40,5678,34353013,Rice,2015,second
花蓮縣,8274.75,8274.75,4866,40262659,Rice,2015,second
新竹市,450.08,450.08,5281,2376872,Rice,2015,second
嘉義市,556.00,556.00,5074,2821144,Rice,2015,second
台北市,237.72,237.72,2223,528452,Rice,2015,second
新北市,151.01,151.01,5517,833122,Rice,2016,first
宜蘭縣,10079.96,10079.96,6208,62576638,Rice,2016,first
桃園市,11884.07,11884.07,5508,65453655,Rice,2016,first
新竹縣,4761.36,4761.36,5298,25223937,Rice,2016,first
苗栗縣,6621.16,6621.16,6412,42456764,Rice,2016,first
台中市,13164.50,13163.98,6957,91585638,Rice,2016,first
彰化縣,20617.73,20617.73,7287,150245349,Rice,2016,first
南投縣,2294.76,2294.76,6937,15918162,Rice,2016,first
雲林縣,27075.64,27075.64,7562,204737208,Rice,2016,first
嘉義縣,17948.00,17948.00,6945,124643623,Rice,2016,first
台南市,11805.10,11805.10,7348,86742935,Rice,2016,first
高雄市,4190.36,4190.36,7263,30435268,Rice,2016,first
屏東縣,5302.19,5302.19,7426,39374285,Rice,2016,first
台東縣,6415.18,6415.18,6158,39502055,Rice,2016,first
花蓮縣,8683.56,8683.56,6020,52279346,Rice,2016,first
新竹市,635.62,635.62,5978,3799736,Rice,2016,first
嘉義市,550.68,550.68,6785,3736364,Rice,2016,first
台北市,237.51,237.51,5253,1247640,Rice,2016,first
新北市,8.52,8.52,2300,19596,Rice,2016,second
桃園市,3566.93,3566.93,3164,11285767,Rice,2016,second
新竹縣,3366.60,3366.60,4702,15829679,Rice,2016,second
苗栗縣,5167.93,5167.78,3695,19097266,Rice,2016,second
台中市,12051.73,12050.79,3431,41342433,Rice,2016,second
彰化縣,17604.47,17604.08,4469,78664617,Rice,2016,second
南投縣,2120.72,2120.72,5251,11136956,Rice,2016,second
雲林縣,13296.28,13296.28,5263,69977588,Rice,2016,second
嘉義縣,13893.38,13893.38,3328,46233581,Rice,2016,second
台南市,9577.43,9577.43,3894,37296342,Rice,2016,second
高雄市,490.99,490.99,3891,1910528,Rice,2016,second
屏東縣,1236.20,1236.20,4188,5177205,Rice,2016,second
台東縣,6164.73,6164.73,4313,26591285,Rice,2016,second
花蓮縣,8342.80,8342.80,3934,32820264,Rice,2016,second
新竹市,497.00,497.00,5118,2543646,Rice,2016,second
嘉義市,552.07,552.07,3400,1876948,Rice,2016,second
台北市,238.04,238.04,2200,523688,Rice,2016,second
新北市,143.15,143.15,5301,758839,Rice,2017,first
宜蘭縣,10169.02,10169.02,6081,61837216,Rice,2017,first
桃園市,12857.67,12857.67,5412,69580565,Rice,2017,first
新竹縣,4354.00,4354.00,5744,25011074,Rice,2017,first
苗栗縣,5590.63,5590.63,6166,34474331,Rice,2017,first
台中市,13213.95,13197.52,6853,90441686,Rice,2017,first
彰化縣,21009.83,21008.91,7618,160054523,Rice,2017,first
南投縣,2334.06,2334.06,7397,17266168,Rice,2017,first
雲林縣,28760.67,28757.68,7895,227047433,Rice,2017,first
嘉義縣,17766.66,17766.66,7458,132506359,Rice,2017,first
台南市,11859.46,11859.46,7496,88892618,Rice,2017,first
高雄市,4179.07,4179.07,7456,31159469,Rice,2017,first
屏東縣,4992.64,4992.64,7462,37255050,Rice,2017,first
台東縣,6459.98,6459.98,6406,41383287,Rice,2017,first
花蓮縣,8427.08,8427.08,5795,48833872,Rice,2017,first
新竹市,605.00,605.00,5852,3540460,Rice,2017,first
嘉義市,560.96,560.96,7574,4248879,Rice,2017,first
台北市,239.82,239.82,3823,916832,Rice,2017,first
新北市,6.88,6.88,2644,18191,Rice,2017,second
宜蘭縣,0.00,0.00,0,0,Rice,2017,second
桃園市,4245.43,4245.43,3437,14591543,Rice,2017,second
新竹縣,3320.90,3320.90,5028,16698948,Rice,2017,second
苗栗縣,5038.08,5038.08,4950,24937878,Rice,2017,second
台中市,11558.75,11556.71,4705,54368638,Rice,2017,second
彰化縣,18076.95,18076.16,5697,102977642,Rice,2017,second
南投縣,2290.64,2290.64,6550,15003692,Rice,2017,second
雲林縣,12743.08,12743.08,6173,78664532,Rice,2017,second
嘉義縣,13948.22,13948.22,5925,82638057,Rice,2017,second
台南市,9856.25,9856.25,5351,52741090,Rice,2017,second
高雄市,438.89,438.89,4369,1917648,Rice,2017,second
屏東縣,1201.09,1201.09,4975,5975663,Rice,2017,second
台東縣,6110.04,6110.04,5231,31964203,Rice,2017,second
